,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
4579557799493615039,Google may be considering Swift for use on Android,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Ordering coffee in Italy: the 10 commandments,The End Of Apple Man,Facebook's WhatsApp does something very different than Google,Why porting an iOS design to Android will not work
4629488036162962359,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Netflix emociona com vídeo destacando personagens LGBT,"No dia das mães, Avon lança campanha com mãe de jovem gay","Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
4716135688735489427,"No dia das mães, Avon lança campanha com mãe de jovem gay",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,O homofóbico dentro de cada um,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
4744297321841608877,containerd - a core container runtime project for the industry - Docker Blog,The Ten Commandments of Egoless Programming,Alecrim/AlecrimCoreData,Mastering Bash and Terminal,Blaise Agüera y Arcas: How computers are learning to be creative,The Ultimate Solution to Versioning REST APIs: Content Negotiation
4761910285123871012,Bot Engine,Facebook's WhatsApp does something very different than Google,Meet Aquifer: A build system for easier Drupal development,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Bots won't replace apps. Better apps will replace apps.,A New Number Format for Computers Could Nuke Approximation Errors for Good
4774970687540378081,The economic essentials of digital strategy,Meet the new Brazilian consumer,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,55 fornecedores de TI que apresentarão novidades no Ciab 2016,Mobile Time,How to Create an Exponential Mindset
4785499183287168509,The new tech talent you need to succeed in digital,The economic essentials of digital strategy,How to Create an Exponential Mindset,Assessing Salesforce's platform and ecosystem | ZDNet,Meet the new Brazilian consumer,We are on the verge of a consumer M&A avalanche
4788854083489560153,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,What's the Best Programming Language to Learn in 2017?,The Children's Illustrated Guide to Kubernetes,Bayer anuncia compra da Monsanto por US$ 66 bilhões
4814419120794996930,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",The Future of Business is Design,Introduction to Natural Language Processing - University of Michigan | Coursera,The return of the machinery question,Facebook says its new AI is almost as good as humans at understanding context,You won't recognize the new world of digital payments without this report
4815632823882298534,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país","No, Apple isn't the next BlackBerry - it's the next Microsoft","Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",The next wave in software is open adoption software,Slack and Google announce partnership focused on better integrating their services,Governo brasileiro cria manual para contratação de cloud
4876769046116846438,Shopping em BH terá fazenda urbana de 2.700 m²,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Workplace diversity in Brazil: there's still a long way to go,Ciclistas relatam roubos com agressividade na avenida dos Andradas,As expectativas das mulheres da Geração Y são muitas
4891010769166501207,Introducing Kotlin support in Spring Framework 5.0,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Spring Boot 1.5.1 released,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Kotlin no Backend (Parte 2) :: Concrete Solutions
4893900714822288649,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery","5 awesome Google Keep features you aren't using, but should be",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Design Sprint: onde o design e a velocidade importam,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber
4911701623098526999,Why image recognition is about to transform business,This startup uses machine learning and satellite imagery to predict crop yields,Goodbye accountants! Startup builds AI to automate all your accounting,Why the customer experience matters,Algorithms and architecture for job recommendations,Is FinTech Forcing Banking to a Tipping Point?
5008913705695203000,Post: Just Say mNo to Hungarian Notation,Alecrim/AlecrimCoreData,Dark Scrum,"Autofill: What web devs should know, but don't",bliki: StranglerApplication,Facebook's WhatsApp does something very different than Google
5018472516978866574,The Internet of Things is looking for its VisiCalc,Blaise Agüera y Arcas: How computers are learning to be creative,Cubr,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Up your app's sharing game with DirectShare - Google Developers,"Autofill: What web devs should know, but don't"
5037221949349729844,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Cookbook,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,O dia em que tive mais medo de estar errada.,Google employees are adding 'Lady' to their job titles to fight sexism
5045927063019110283,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Não existe frete grátis!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Cia. Hering sincroniza diferentes marcas em um único portal de compras,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Mercado de Cosméticos no Brasil - Setor que não conhece crise!
5087084654882097891,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Meet Aquifer: A build system for easier Drupal development,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8
5088013394045185972,JavaScript Conquered the Web. Now It's Taking Over the Desktop,How I sped up the initial render of my Polymer app by 86%,Acesse a versão Material Design do YouTube | Google Discovery,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Modelando APIs REST com Swagger,The Business Case for Progressive Web Apps
5092635400707338872,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Programming by poking: why MIT stopped teaching SICP,"Hello, TensorFlow!","Say goodbye to traditional customer segmentation "" Banking Technology",It's The Future
5206308811707978799,The rise of APIs,The return of the machinery question,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Mobile marketing statistics 2016,A digital crack in banking's business model,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com"
5211673327552264703,Google Cloud Platform sets a course for new horizons,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Google is quietly recording everything you say. Here's how to hear it,Assista a entrevista de Linus Torvalds no TED legendada
5217724704513784613,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Building Flipkart Lite: A Progressive Web App,"How to build a robot that ""sees"" with $100 and TensorFlow",Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Advanced Android Espresso,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub
5227822864949117283,The Difference Between Sympathy And Empathy - Expanded Consciousness,Why the customer experience matters,"5 awesome Google Keep features you aren't using, but should be",The return of the machinery question,Lean IT is all about people - o Lean na TI é focado em pessoas,Shopping app Spring's redesign could be a game-changer
5238119115012015307,Embracing Agile,Accenture amplia atuação no Brasil,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Say goodbye to traditional customer segmentation "" Banking Technology"
5258604889412591249,Machine Learning Is No Longer Just for Experts,Google lança YouTube Kids no Brasil | Google Discovery,Chatbots: Are they better without the chat?,15 Awesome Sublime Text Plugins For Web Development,Blaise Agüera y Arcas: How computers are learning to be creative,19 Tips For Everyday Git Use
5263606973029607223,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Creating Your Code Review Checklist - DaedTech,Cloud Native Part 1: Definition,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Angular 2 versus React: There Will Be Blood - Free Code Camp,Serverless real-time architecture on AWS: there is a way !
5270696484536580646,8 Insanely Simple Productivity Hacks,"5 awesome Google Keep features you aren't using, but should be",How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,The return of the machinery question,Google researchers teach AIs to see the important parts of images - and tell you about them,Google is quietly recording everything you say. Here's how to hear it
5293701842202310496,Can Accenture Take Over Advertising?,"An independent organization just ranked Google as the best cloud, beating Amazon",You won't recognize the new world of digital payments without this report,Meet the new Brazilian consumer,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Is FinTech Forcing Banking to a Tipping Point?
5302085907556673015,Google employees are adding 'Lady' to their job titles to fight sexism,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks","If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files","Meet Bozoma Saint John, the Apple executive who stole the show at WWDC","The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule",This Super Accurate Portrait Selection Tech Uses Neural Networks
5313335392004163852,Salesforce Architect Journey,Client-side ranking to more efficiently show people stories in feed,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Blaise Agüera y Arcas: How computers are learning to be creative,Seniority,The Developer's Midlife Crisis: What's Next?
5328558001212551235,Acquia Engage Awards Finalists Announced,Why Is Learning Drupal Hard?,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Dries Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8
5336562616168017846,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",On DRY and the cost of wrongful abstractions,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Angular 2 versus React: There Will Be Blood - Free Code Camp,Sobre o Hipsters Ponto Tech,Kotlin no Backend (Parte 2) :: Concrete Solutions
5338677278233757627,How to Get a Job at Google,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",Inbox by Gmail ganha formatação de texto | Google Discovery,Staying one step ahead at Pixar: An interview with Ed Catmull,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business
5424502143558028097,Sam Newman - Backends For Frontends,What Color is Your Function?,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Lists are the new search,4 Reasons Managers Should Spend More Time on Coaching,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
5429045128339158843,Spring Boot 1.5.1 released,Introducing Kotlin support in Spring Framework 5.0,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Arquitetura de Microserviços habilitando APIs - Sensedia,When to make a Git Commit
5445999759138709405,Bradesco lança serviço inédito para estimular o hábito de poupar,CMN regulamenta abertura de conta de depósito por meio eletrônico,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Abrimos uma conta no Original.,The compelling case to replace a 40-year old core system - Chris Skinner's blog,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês
5484061377044071389,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Hype Driven Development,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,What to Inspect When You are Inspecting!,Sam Newman - Backends For Frontends,Communication patterns in a Microservice world
5530820581773167955,Mulheres são mais criativas que homens?,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",O que é liderança? Liderança é fazer a diversidade funcionar.,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,A importância dos filmes de mulherzinha - Capitolina,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!"
5533752987392101383,7 Questions to Ask Before Your Next Digital Transformation,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Two Different Sales Motions . . . .,Scala is the new golden child,Banking Needs a Customer Experience Wake-Up Call,The sales secrets of high-growth companies
5658521282502533116,ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,Como Usar o Git e o GitHub,Sua comunidade de Teste.,Agile: Falta competência nos testes,BDD Best Practices and Guidelines - Testing Excellence,Dicas avançadas de ruby (capybara/cucumber)
5688279681867464747,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Measuring email effectiveness in retail banking,Google researchers teach AIs to see the important parts of images - and tell you about them,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Accidental discovery could help batteries last years longer,Will blockchain drive the fourth Industrial Revolution?
5719793245136119929,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa lança desafio para startups de tecnologia - Startupi,CMN regulamenta abertura de conta de depósito por meio eletrônico,Starbucks tem mais dinheiro do cliente em cartões do que bancos,The sales secrets of high-growth companies
5787934590133549357,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google is quietly recording everything you say. Here's how to hear it,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Why image recognition is about to transform business,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC
5795281877636738272,Microsoft's Open Source Love Affair Reaches New Heights,Alecrim/AlecrimCoreData,The next wave in software is open adoption software,Our password hashing has no clothes,Decentralizing IoT networks through blockchain,"Hello, TensorFlow!"
5816734694927565572,Bot Design Patterns,The next wave in software is open adoption software,Google may be considering Swift for use on Android,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,How bot-to-bot could soon replace APIs,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption"
5847042211895226591,Elastic Stack 5.0.0 Released,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",gotwarlost/istanbul,Building Spring Cloud Microservices That Strangle Legacy Systems,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Standing on the Shoulders of Giants - Built to Adapt
5849490334294127641,gotwarlost/istanbul,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Closure Compiler in JavaScript,The technology behind preview photos
5854206600849997966,The hardest thing in computer science,The Importance of Code Reviews,"Autofill: What web devs should know, but don't",Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Joel on Software,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet"
5875183869203898283,Google is quietly recording everything you say. Here's how to hear it,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,Ouça a música criada pela inteligência artificial do Google | Google Discovery,The return of the machinery question,Artificial intelligence produces realistic sounds that fool humans,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery"
5928346445655989915,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Do you want Crappy Agile?,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow"
5940374562401786524,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Mercado de Cosméticos no Brasil - Setor que não conhece crise!
5962268176939710955,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Graph Capabilities with the Elastic Stack,Google lags behind Amazon and Microsoft's cloud in one important area,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Firebase and Google Cloud: better together
5964888566269323942,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,Meet the new Brazilian consumer,How to Create an Exponential Mindset,Algorithms and architecture for job recommendations,Is FinTech Forcing Banking to a Tipping Point?
6015995473246774717,The need to lead in data and analytics,An operating model for company-wide agile development,Meet the new Brazilian consumer,Rewiring Citi for the digital age,An operating model for company-wide agile development,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
6031953227014493100,O chefe é gay. E daí?,The Genderbread Person v3 | It's Pronounced Metrosexual,O dia em que tive mais medo de estar errada.,#Sentaquelávemtextão,Promoting gender equality through emoji �� ��,Workplace diversity in Brazil: there's still a long way to go
6044362651232258738,Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
6062146090334604102,Serverless Data Sync in Web Apps with Bit Torrent,Beyond Progressive Web Apps Part 1,Measuring email effectiveness in retail banking,Google researchers teach AIs to see the important parts of images - and tell you about them,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Nubank começa a testar seu programa de fidelidade - Empresas Tech
6104598399077154797,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Using Microservices Architecture as API Enablement Strategy,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Quando o Scrum irá falhar - Tableless
6152652267138213180,Staying one step ahead at Pixar: An interview with Ed Catmull,Ordering coffee in Italy: the 10 commandments,An operating model for company-wide agile development,Shopping app Spring's redesign could be a game-changer,"The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
6201946560186605500,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa lança desafio para startups de tecnologia - Startupi,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,The sales secrets of high-growth companies,Is FinTech Forcing Banking to a Tipping Point?
6340108943344143104,Text summarization with TensorFlow,Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Como a Microsoft está trabalhando com o conceito de IoT - Startupi,AI Is Here to Help You Write Emails People Will Actually Read,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
6384824828701919724,14 Cool Drupal 8 modules for site builders | August 2016,Who sponsors Drupal development? | Dries Buytaert,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,Google is quietly recording everything you say. Here's how to hear it,Top 10 Intranet Trends of 2016,"Docker - Build, Ship, and Run Any App, Anywhere"
6426224004219108539,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"No dia das mães, Avon lança campanha com mãe de jovem gay",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Netflix emociona com vídeo destacando personagens LGBT
6437568358552101410,Tech in Brazil is booming despite the country's political troubles,The barbell effect of machine learning.,What Color is Your Function?,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Staying one step ahead at Pixar: An interview with Ed Catmull,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com
6463551093741815202,"Little girls doubt that women can be brilliant, study shows",Workplace diversity in Brazil: there's still a long way to go,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,O que é liderança? Liderança é fazer a diversidade funcionar.
6519443272707698315,Two Different Sales Motions . . . .,Nintendo has doubled in value since Pokémon Go's release,"Telecoms open shop on Madison Avenue, but will brands buy?","Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",An operating model for company-wide agile development,The return of the machinery question
6521856301289868251,Notes on Reactive Programming Part I: The Reactive Landscape,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",Alecrim/AlecrimCoreData,Facebook's WhatsApp does something very different than Google,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,System Code Geeks are giving away a FREE Sublime Text Editor License
6535950170823528902,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Containers are not VMs,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,The next wave in software is open adoption software,Governo brasileiro cria manual para contratação de cloud
6540624159201421051,Bradesco vai lançar novo banco digital: o Next.,The Future of Digital Banking is Now,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",The surprising truth about which countries lead in digital,The next wave in software is open adoption software,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery"
6569463984699537820,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Is FinTech Forcing Banking to a Tipping Point?,Chrome DevTools - Console API Reference
6583734846225935852,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,The End Of Apple Man,Google may be considering Swift for use on Android,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
6615662748793536194,Especial: O papel dos grandes provedores de TI na Rio 2016,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Governo brasileiro cria manual para contratação de cloud,Organizing for digital acceleration: Making a two-speed IT operating model work,Can Accenture Take Over Advertising?,Is FinTech Forcing Banking to a Tipping Point?
6620060201676471218,Creating Compound Views on Android,The real reasons you procrastinate - and how to stop,Why Google App Engine rocks: A Google engineer's take,"Fresco, sim! - Android Dev BR",How Do Top Android Developers QA Test Their Apps?,StrictMode for Runtime Analysis on Android - Google Developers
6642437212220341339,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Governo define cronograma para plano nacional de Internet das Coisas,Nova pulseira tecnológica avisa se você já bebeu demais,Good developers take breaks * Greetings Programs,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls"
6643427232964983922,#iLookLikeAnEngineer: One Year Later,Criadas para casar,A importância dos filmes de mulherzinha - Capitolina,Promoting gender equality through emoji �� ��,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
6644171916702621557,Criando ícones animados no Android,Tasting Dagger 2 on Android,Exploring Java's Hidden Costs,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Why porting an iOS design to Android will not work
6664082205633624486,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,"How to build a robot that ""sees"" with $100 and TensorFlow",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Building Flipkart Lite: A Progressive Web App,Advanced Android Espresso,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems"
6678691743269420670,Why Deep Learning Is Suddenly Changing Your Life,The return of the machinery question,Google researchers teach AIs to see the important parts of images - and tell you about them,"Google, Amazon and the upcoming battle over AI Assistants",Blaise Agüera y Arcas: How computers are learning to be creative,Duolingo's chatbots help you learn a new language
6750029764020453263,"Microsoft anuncia Visual Studio para Mac, disponível ainda nesta semana | MacMagazine.com.br",Announcing .NET Core 1.0,New MacBook Pro is not a Laptop for Developers Anymore,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Burger King aceita pedidos via mensagens no Facebook - Startupi,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi
6783622248311192269,Par de alianças impede que seu parceiro assista Netflix sem você,"Docker - Build, Ship, and Run Any App, Anywhere",Using Honcho to Create a Multi-Process Docker Container,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO
6807042796917367736,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Accidental discovery could help batteries last years longer,The Business Case for Progressive Web Apps,Confused by blockchains? Revolution vs Evolution,A digital crack in banking's business model
6817244649248188271,Desenvolvimento de Aplicativos Mobile com Xamarin -,Learn Hiragana: The Ultimate Guide,The Continuous Delivery Maturity Model,JavaScript Conquered the Web. Now It's Taking Over the Desktop,15 Awesome Sublime Text Plugins For Web Development,Front in BH 2016
6829640091575814990,Branding é problema seu. E meu.,UX ou UI?,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Workshop de Design Thinking - Unicamp,The End Of Apps As We Know Them - Inside Intercom
6850500272809381909,WeChat's competitor to Slack has arrived,"Deep Learning for Chatbots, Part 1 - Introduction",WeChat's world,Why Is Learning Drupal Hard?,Cross-channel user experiences with Drupal,Multi-Channel Marketing in 2015 - It's not rocket science.
6852597772196653540,Firebase and Google Cloud: better together,Python Is Not Java (dirtSimple.org),"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Cracking the Job Interview with TensorFlow,What is WebAssembly? The Dawn of a New Era - JavaScript Scene
6881796783400625893,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Comparing React.js to Vue.js for dynamic tabular data,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Quick Tip: Working with the JavaScript Battery API,CMN regulamenta abertura de conta de depósito por meio eletrônico,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
6910763794618680440,JavaServer Faces 2.3 Quick Reference - DZone Java,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,SOA com microserviços - Sensedia,Torus,Microservices testing,Seniority
6940370558848102253,Graduação já não garante uma carreira de sucesso em TI - CIO,Lists are the new search,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,The barbell effect of machine learning.,Inbox by Gmail ganha formatação de texto | Google Discovery,Dark Scrum
6941466664989793964,Accenture amplia atuação no Brasil,#FinTech is all about human-centred design - Chris Skinner's blog,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Meet the new Brazilian consumer,Embracing Agile
